pass,obj,delay,logistic
500,-78.5,-693.0,536
501,-78.5,-693.0,536
502,-78.5,-693.0,536
503,-78.5,-693.0,536
504,-78.5,-693.0,536
505,-78.5,-693.0,536
506,-78.5,-693.0,536
507,-78.5,-693.0,536
508,-78.5,-693.0,536
509,-78.5,-693.0,536
510,-78.5,-693.0,536
511,-78.5,-693.0,536
512,-78.5,-693.0,536
513,-78.5,-693.0,536
514,-78.5,-693.0,536
515,-78.5,-693.0,536
516,-78.5,-693.0,536
517,-78.5,-693.0,536
518,-78.5,-693.0,536
519,-129.5,-689.0,430
520,-129.5,-689.0,430
521,-129.5,-689.0,430
522,-124.0,-645.0,397
523,-124.0,-645.0,397
524,-124.0,-645.0,397
525,-124.0,-645.0,397
526,-124.0,-645.0,397
527,-124.0,-645.0,397
528,-124.0,-645.0,397
529,-124.0,-645.0,397
530,-124.0,-645.0,397
531,-124.5,-689.0,440
532,-124.5,-689.0,440
533,-124.5,-689.0,440
534,-124.5,-689.0,440
535,-124.5,-689.0,440
536,-124.5,-689.0,440
537,-124.5,-689.0,440
538,-124.5,-689.0,440
539,-124.5,-689.0,440
540,-124.5,-689.0,440
541,-124.5,-689.0,440
542,-124.5,-689.0,440
543,-124.5,-689.0,440
544,-124.5,-689.0,440
545,-124.5,-689.0,440
546,-124.5,-689.0,440
547,-124.5,-689.0,440
548,-124.5,-689.0,440
549,-124.5,-689.0,440
550,-124.5,-689.0,440
551,-124.5,-689.0,440
552,-84.5,-695.0,526
553,-86.5,-694.0,521
554,-86.5,-694.0,521
555,-86.5,-694.0,521
556,-86.5,-694.0,521
557,-86.5,-694.0,521
558,-86.5,-694.0,521
559,-86.5,-694.0,521
560,-86.5,-694.0,521
561,-86.5,-694.0,521
562,-86.5,-694.0,521
563,-86.5,-694.0,521
564,-86.5,-694.0,521
565,-86.5,-694.0,521
566,-86.5,-694.0,521
567,-86.5,-694.0,521
568,-96.5,-684.0,491
569,-96.5,-684.0,491
570,-96.5,-684.0,491
571,-96.5,-684.0,491
572,-96.5,-684.0,491
573,-94.5,-685.0,496
574,-94.5,-685.0,496
575,-94.5,-685.0,496
576,-94.5,-685.0,496
577,-94.5,-685.0,496
578,-94.5,-685.0,496
579,-94.5,-685.0,496
580,-94.5,-685.0,496
581,-94.5,-685.0,496
582,-94.5,-685.0,496
583,-94.5,-685.0,496
584,-94.5,-685.0,496
585,-102.0,-681.0,477
586,-84.5,-711.0,542
587,-84.5,-711.0,542
588,-84.5,-711.0,542
589,-84.5,-711.0,542
590,-83.0,-712.0,546
591,-88.5,-703.0,526
592,-83.0,-712.0,546
593,-83.0,-712.0,546
594,-83.0,-712.0,546
595,-83.0,-712.0,546
596,-83.0,-712.0,546
597,-88.5,-703.0,526
598,-88.5,-703.0,526
599,-88.5,-703.0,526
600,-88.5,-703.0,526
601,-88.5,-703.0,526
602,-88.5,-703.0,526
603,-90.0,-702.0,522
604,-90.0,-702.0,522
605,-90.0,-702.0,522
606,-90.0,-702.0,522
607,-88.5,-703.0,526
608,-88.5,-703.0,526
609,-88.5,-703.0,526
610,-88.5,-703.0,526
611,-88.5,-703.0,526
612,-88.5,-703.0,526
613,-88.5,-703.0,526
614,-88.5,-703.0,526
615,-88.5,-703.0,526
616,-94.5,-702.0,513
617,-88.5,-703.0,526
618,-88.5,-703.0,526
619,-88.5,-703.0,526
620,-88.5,-703.0,526
621,-88.5,-703.0,526
622,-88.5,-703.0,526
623,-88.5,-703.0,526
624,-88.5,-703.0,526
625,-88.5,-703.0,526
626,-88.5,-703.0,526
627,-88.5,-703.0,526
628,-88.5,-703.0,526
629,-88.5,-703.0,526
630,-88.5,-703.0,526
631,-88.5,-703.0,526
632,-88.5,-703.0,526
633,-88.5,-703.0,526
634,-88.5,-703.0,526
635,-88.5,-703.0,526
636,-88.5,-703.0,526
